taxonomy_level,speech_type,topic,n_speeches_with_topic,n_speeches_in_type,topic_rate,overall_rate,lift
level2,special_message_to_congress,"Taxes, Budget Deficits & Federal Spending",15,165,0.09090909090909091,0.2876064333017975,0.31608851674641153
level2,special_message_to_congress,"Territorial Organization, Statehood & Insular Governance",17,165,0.10303030303030303,0.15042573320719016,0.684924718886983
level2,special_message_to_congress,"Treaties, Diplomacy & International Arbitration",82,165,0.49696969696969695,0.510879848628193,0.9727721661054993
level2,special_message_to_congress,"Trusts, Corporations & Antitrust",12,165,0.07272727272727272,0.10879848628192999,0.6684584980237154
level2,special_message_to_congress,Vietnam War,5,165,0.030303030303030304,0.13718070009460737,0.22089864158829678
level2,special_message_to_congress,"Welfare, Poverty & Economic Opportunity",5,165,0.030303030303030304,0.22232734153263956,0.1362991618310767
level2,special_message_to_congress,"World Order, Foreign Aid & Democracy Promotion",16,165,0.09696969696969697,0.30368968779564803,0.31930520154819225
level2,special_message_to_congress,World War I Mobilization & War Aims,8,165,0.048484848484848485,0.052980132450331126,0.9151515151515152
level2,special_message_to_congress,World War II Military Operations,12,165,0.07272727272727272,0.11069063386944182,0.657031857031857
level2,state_of_the_union_or_annual_message,Agriculture & Farm Prices,125,218,0.573394495412844,0.23935666982024598,2.3955651448670996
level2,state_of_the_union_or_annual_message,Chinese Immigration & Exclusion,23,218,0.10550458715596331,0.02838221381267739,3.717278287461774
level2,state_of_the_union_or_annual_message,"Civil Rights, Voting Rights & Discrimination",76,218,0.3486238532110092,0.25260170293282874,1.3801326323746694
level2,state_of_the_union_or_annual_message,Civil Service Reform & the Merit System,74,218,0.3394495412844037,0.12866603595080417,2.638221802482461
level2,state_of_the_union_or_annual_message,"Coinage, Currency & Specie",81,218,0.37155963302752293,0.12582781456953643,2.95292129406084
level2,state_of_the_union_or_annual_message,Cold War & Great-Power Rivalry,77,218,0.3532110091743119,0.3273415326395459,1.0790290077955136
level2,state_of_the_union_or_annual_message,"Commemoration, Eulogy & National Mourning",77,218,0.3532110091743119,0.23273415326395458,1.5176586857611696
level2,state_of_the_union_or_annual_message,Conservation & the Environment,107,218,0.4908256880733945,0.19489120151371808,2.518459962590184
level2,state_of_the_union_or_annual_message,Constitutional Union & Federalism,84,218,0.3853211009174312,0.2535477767265847,1.5197179241407641
level2,state_of_the_union_or_annual_message,"Crime, Insurrection & Federal Law Enforcement",137,218,0.6284403669724771,0.3197729422894986,1.9652706150589
level2,state_of_the_union_or_annual_message,Early Naval Wars: Barbary & the War of 1812,40,218,0.1834862385321101,0.06149479659413434,2.9837685250529287
level2,state_of_the_union_or_annual_message,Elections & Voting Integrity,73,218,0.3348623853211009,0.16367076631977295,2.0459511056901944
level2,state_of_the_union_or_annual_message,"Executive Departments, Postal & Administrative Housekeeping",170,218,0.7798165137614679,0.33112582781456956,2.355045871559633
level2,state_of_the_union_or_annual_message,"Executive Power, Vetoes & the Courts",144,218,0.6605504587155964,0.4011352885525071,1.6467024407131732
level2,state_of_the_union_or_annual_message,Great Depression Recovery,18,218,0.08256880733944955,0.08230842005676443,1.0031635558367604
level2,state_of_the_union_or_annual_message,"Health Care, Medicare & Social Security",72,218,0.3302752293577982,0.18448438978240303,1.7902611150317573
