network,source,target,similarity,source_n_speeches,target_n_speeches,default_visible
ai_topics,Chester A. Arthur,James A. Garfield,0.25336733197007455,11,1,False
ai_topics,Chester A. Arthur,James Buchanan,0.6205257031105882,11,14,True
ai_topics,Chester A. Arthur,James K. Polk,0.5631900970663197,11,25,True
ai_topics,Chester A. Arthur,James Madison,0.48675449153297107,11,21,True
ai_topics,Chester A. Arthur,James Monroe,0.8197727925803533,11,10,True
ai_topics,Chester A. Arthur,Jimmy Carter,0.39153845674011817,11,22,True
ai_topics,Chester A. Arthur,Joe Biden,0.23732452964551395,11,28,True
ai_topics,Chester A. Arthur,John Adams,0.5350567912849684,11,9,True
ai_topics,Chester A. Arthur,John F. Kennedy,0.2671287721985859,11,44,True
ai_topics,Chester A. Arthur,John Quincy Adams,0.8499807578509615,11,8,True
ai_topics,Chester A. Arthur,John Tyler,0.7902610989265795,11,18,True
ai_topics,Chester A. Arthur,Lyndon B. Johnson,0.2752955788356861,11,71,True
ai_topics,Chester A. Arthur,Martin Van Buren,0.5807726811095533,11,10,True
ai_topics,Chester A. Arthur,Millard Fillmore,0.8108785991096694,11,7,True
ai_topics,Chester A. Arthur,Richard M. Nixon,0.27547776631491183,11,23,True
ai_topics,Chester A. Arthur,Ronald Reagan,0.3053632332487825,11,60,True
ai_topics,Chester A. Arthur,Rutherford B. Hayes,0.7958510590148318,11,16,True
ai_topics,Chester A. Arthur,Theodore Roosevelt,0.7195326050879549,11,22,True
ai_topics,Chester A. Arthur,Thomas Jefferson,0.6431655573343914,11,24,True
ai_topics,Chester A. Arthur,Ulysses S. Grant,0.8879029721600955,11,32,True
ai_topics,Chester A. Arthur,Warren G. Harding,0.5420839462982818,11,18,True
ai_topics,Chester A. Arthur,William Harrison,0.25654757426094416,11,1,False
ai_topics,Chester A. Arthur,William McKinley,0.7973896826582652,11,14,True
ai_topics,Chester A. Arthur,William Taft,0.8200341751285277,11,12,True
ai_topics,Chester A. Arthur,Woodrow Wilson,0.5101803319854816,11,33,True
ai_topics,Chester A. Arthur,Zachary Taylor,0.7734502584737994,11,4,False
ai_topics,Donald Trump,Dwight D. Eisenhower,0.6134028639705669,53,15,True
ai_topics,Donald Trump,Franklin D. Roosevelt,0.3544239955183621,53,49,True
ai_topics,Donald Trump,Franklin Pierce,0.2926282264697003,53,15,True
ai_topics,Donald Trump,George H. W. Bush,0.7853748644104955,53,23,True
ai_topics,Donald Trump,George W. Bush,0.6109784730544507,53,38,True
ai_topics,Donald Trump,George Washington,0.34601028909520276,53,21,True
ai_topics,Donald Trump,Gerald Ford,0.6268995552703677,53,14,True
ai_topics,Donald Trump,Grover Cleveland,0.31256577313778416,53,32,True
ai_topics,Donald Trump,Harry S. Truman,0.5861857474121903,53,19,True
ai_topics,Donald Trump,Herbert Hoover,0.528339997044374,53,30,True
ai_topics,Donald Trump,James A. Garfield,0.20081152323029225,53,1,False
ai_topics,Donald Trump,James Buchanan,0.26569047907161253,53,14,True
ai_topics,Donald Trump,James K. Polk,0.22385780033194883,53,25,True
ai_topics,Donald Trump,James Madison,0.2578099266156803,53,21,True
ai_topics,Donald Trump,James Monroe,0.3480759976246731,53,10,True
ai_topics,Donald Trump,Jimmy Carter,0.7468257461276375,53,22,True
ai_topics,Donald Trump,Joe Biden,0.789549518611282,53,28,True
ai_topics,Donald Trump,John Adams,0.29331558149029574,53,9,True
ai_topics,Donald Trump,John F. Kennedy,0.5616189294294422,53,44,True
