,word,pos,lemma,year,president
423,forebears,NNS,forebear,2013,Barack Obama
424,through,IN,through,2013,Barack Obama
425,seneca,NNP,Seneca,2013,Barack Obama
426,falls,NNP,Falls,2013,Barack Obama
427,and,CC,and,2013,Barack Obama
428,selma,NNP,Selma,2013,Barack Obama
429,and,CC,and,2013,Barack Obama
430,stonewall,NNP,Stonewall,2013,Barack Obama
431,just,RB,just,2013,Barack Obama
432,as,IN,as,2013,Barack Obama
433,it,PRP,it,2013,Barack Obama
434,guided,VBD,guide,2013,Barack Obama
435,all,PDT,all,2013,Barack Obama
436,those,DT,those,2013,Barack Obama
437,men,NNS,men,2013,Barack Obama
438,and,CC,and,2013,Barack Obama
439,women,NNS,woman,2013,Barack Obama
440,sung,NN,sung,2013,Barack Obama
441,and,CC,and,2013,Barack Obama
442,unsung,NN,unsung,2013,Barack Obama
443,who,WP,who,2013,Barack Obama
444,left,VBD,leave,2013,Barack Obama
445,footprints,NNS,footprint,2013,Barack Obama
446,along,IN,along,2013,Barack Obama
447,this,DT,this,2013,Barack Obama
448,great,JJ,great,2013,Barack Obama
449,mall,NNP,Mall,2013,Barack Obama
450,to,TO,to,2013,Barack Obama
451,hear,VB,hear,2013,Barack Obama
452,a,DT,a,2013,Barack Obama
453,preacher,NN,preacher,2013,Barack Obama
454,say,VBP,say,2013,Barack Obama
455,that,IN,that,2013,Barack Obama
456,we,PRP,we,2013,Barack Obama
457,can,MD,can,2013,Barack Obama
458,not,RB,not,2013,Barack Obama
459,walk,VB,walk,2013,Barack Obama
460,alone,RB,alone,2013,Barack Obama
461,to,TO,to,2013,Barack Obama
462,hear,VB,hear,2013,Barack Obama
463,a,DT,a,2013,Barack Obama
464,king,NNP,King,2013,Barack Obama
465,proclaim,NN,proclaim,2013,Barack Obama
466,that,IN,that,2013,Barack Obama
467,our,PRP$,our,2013,Barack Obama
468,individual,JJ,individual,2013,Barack Obama
469,freedom,NN,freedom,2013,Barack Obama
470,is,VBZ,be,2013,Barack Obama
471,inextricably,RB,inextricably,2013,Barack Obama
