condition,k,boundary_year,is_primary_k,n_axes
drop_topic,12,1792,False,46
drop_topic,12,1808,False,46
drop_topic,12,1816,False,46
drop_topic,12,1832,False,46
drop_topic,12,1872,False,46
drop_topic,12,1912,False,46
drop_topic,12,1936,False,46
drop_topic,12,1952,False,46
drop_topic,12,1976,False,46
drop_topic,12,2000,False,46
drop_topic,12,2016,False,46
full,2,1912,False,63
full,3,1808,False,63
full,3,1912,False,63
full,4,1808,False,63
full,4,1912,False,63
full,4,2016,False,63
full,5,1808,False,63
full,5,1912,False,63
full,5,1936,False,63
full,5,2016,False,63
full,6,1808,False,63
full,6,1872,False,63
full,6,1912,False,63
full,6,1936,False,63
full,6,2016,False,63
full,7,1808,False,63
full,7,1848,False,63
full,7,1872,False,63
full,7,1912,False,63
full,7,1936,False,63
full,7,2016,False,63
full,8,1808,False,63
full,8,1848,False,63
full,8,1872,False,63
full,8,1912,False,63
full,8,1936,False,63
full,8,1952,False,63
full,8,2016,False,63
full,9,1792,True,63
full,9,1808,True,63
full,9,1848,True,63
full,9,1872,True,63
full,9,1912,True,63
full,9,1936,True,63
full,9,1952,True,63
full,9,2016,True,63
full,10,1792,False,63
full,10,1808,False,63
full,10,1848,False,63
full,10,1872,False,63
full,10,1912,False,63
full,10,1936,False,63
full,10,1952,False,63
full,10,1976,False,63
full,10,2016,False,63
full,11,1792,False,63
full,11,1808,False,63
full,11,1816,False,63
full,11,1848,False,63
full,11,1872,False,63
full,11,1912,False,63
full,11,1936,False,63
full,11,1952,False,63
full,11,1976,False,63
full,11,2016,False,63
full,12,1792,False,63
full,12,1808,False,63
full,12,1816,False,63
full,12,1848,False,63
full,12,1872,False,63
full,12,1912,False,63
full,12,1928,False,63
full,12,1936,False,63
full,12,1952,False,63
full,12,1976,False,63
full,12,2016,False,63
