boundary_year,score_4,rank_4,percentile_4,score_8,rank_8,percentile_8,consensus,consensus_rank
1914,10.913081421469009,31,0.8695652173913043,9.572762822210153,22,0.9054054054054054,0.8874853113983548,17
1915,10.241293695216235,50,0.7869565217391304,9.897640955705397,16,0.9324324324324325,0.8596944770857815,24
1916,9.960229413680254,60,0.7434782608695651,9.53859017261849,23,0.9009009009009009,0.8221895808852331,33
1917,9.439682186951128,79,0.6608695652173913,8.741239985277725,36,0.8423423423423424,0.7516059537798668,50
1918,7.8820160025647095,123,0.4695652173913043,7.789923201728722,80,0.6441441441441442,0.5568546807677243,102
1919,9.521922591142882,76,0.6739130434782609,7.960823819074921,71,0.6846846846846847,0.6792988640814728,65
1920,9.755782932535103,68,0.7086956521739131,7.658826995774135,84,0.6261261261261262,0.6674108891500197,70
1921,10.660012564994947,35,0.8521739130434782,8.407834047302606,48,0.7882882882882882,0.8202311006658832,34
1922,9.05393859256027,87,0.6260869565217391,8.392934852660805,49,0.7837837837837838,0.7049353701527614,60
1923,10.514185774729969,39,0.8347826086956522,8.570703377570041,43,0.8108108108108107,0.8227967097532315,32
1924,10.46759563608499,41,0.8260869565217391,8.195413413802077,58,0.7432432432432432,0.7846650998824911,44
1925,8.541359799373602,103,0.5565217391304348,7.607748216012861,89,0.6036036036036037,0.5800626713670192,94
1926,6.0199080921360535,189,0.18260869565217386,6.53868062937197,136,0.3918918918918919,0.28725029377203287,159
1927,9.290160687886091,81,0.6521739130434783,8.290493305928937,53,0.7657657657657657,0.708969839404622,58
1928,10.411889461819486,46,0.8043478260869565,9.236535317679516,30,0.8693693693693694,0.836858597728163,27
1929,11.586514981315815,21,0.9130434782608696,9.94442642305647,15,0.9369369369369369,0.9249902075989033,12
1930,11.142074200170597,28,0.8826086956521739,10.558405245204922,8,0.9684684684684685,0.9255385820603212,11
1931,10.438650463697423,43,0.817391304347826,10.404968947135611,10,0.9594594594594594,0.8884253819036427,16
1932,10.093295860984645,56,0.7608695652173914,10.564520319380842,7,0.972972972972973,0.8669212690951822,22
1933,9.930708511217922,61,0.7391304347826086,9.050985428944395,32,0.8603603603603603,0.7997453975714846,40
1934,9.1928958475977,84,0.6391304347826087,9.88332625614373,17,0.9279279279279279,0.7835291813552683,45
1935,8.930474567646582,93,0.6,10.126523366883461,14,0.9414414414414415,0.7707207207207207,48
1936,9.043624577554462,89,0.6173913043478261,10.505730105251482,9,0.963963963963964,0.790677634155895,42
1937,8.280030767532095,112,0.5173913043478261,10.57791613984861,6,0.9774774774774775,0.7474343909126517,51
1938,10.029268454669014,58,0.7521739130434782,10.901178192778143,4,0.9864864864864865,0.8693301997649824,21
1939,11.246815365215276,26,0.8913043478260869,11.570107315266165,1,1.0,0.9456521739130435,5
1940,10.992695060636397,30,0.8739130434782609,11.367768944480666,2,0.9954954954954955,0.9347042694868782,9
1941,7.80174207537104,126,0.4565217391304348,8.581937781809,42,0.8153153153153153,0.6359185272228751,80
1942,6.106407150729828,184,0.20434782608695656,5.691276503425743,175,0.21621621621621623,0.2102820211515864,179
1943,7.034366617120312,149,0.35652173913043483,6.298111018022413,150,0.3288288288288288,0.3426752839796318,144
1944,8.697090047777339,98,0.5782608695652174,7.652377387966705,85,0.6216216216216216,0.5999412455934194,90
1945,10.144134909249788,55,0.7652173913043478,9.838475274555476,18,0.9234234234234234,0.8443204073638857,26
1946,14.982352659193964,7,0.9739130434782609,10.39894211849089,11,0.954954954954955,0.964433999216608,2
1947,14.911714359979829,8,0.9695652173913043,10.185930882541003,12,0.9504504504504504,0.9600078339208773,4
1948,16.166065298101888,6,0.9782608695652174,10.133144452021345,13,0.9459459459459459,0.9621034077555817,3
1949,17.18071463614049,3,0.991304347826087,9.477492571301923,24,0.8963963963963963,0.9438503721112417,6
1950,10.763113539117036,34,0.8565217391304347,8.424872442322862,47,0.7927927927927928,0.8246572659616138,31
1951,11.318522407030652,25,0.8956521739130435,7.896071823296894,74,0.6711711711711712,0.7834116725421074,46
1952,14.154735456244156,10,0.9608695652173913,8.44193656675196,46,0.7972972972972973,0.8790834312573443,19
1953,20.660577431932765,1,1.0,9.242406674307555,29,0.8738738738738738,0.9369369369369369,7
1954,12.88756342102422,16,0.9347826086956522,8.023229193159993,69,0.6936936936936937,0.814238151194673,38
1955,9.702980982718962,70,0.7,6.480664559154583,140,0.37387387387387383,0.5369369369369369,106
1956,7.613525086686692,132,0.4304347826086956,7.045071489063722,114,0.49099099099099097,0.4607128867998433,118
1957,12.0006508025903,18,0.9260869565217391,6.729634168353085,129,0.42342342342342343,0.6747551899725812,67
1958,10.412113897234935,45,0.808695652173913,7.042295407514003,115,0.4864864864864865,0.6475910693301998,78
1959,9.297827805349403,80,0.6565217391304348,7.379565754776676,102,0.545045045045045,0.6007833920877399,89
1960,8.207777999499175,116,0.5,8.109717193621849,64,0.7162162162162162,0.6081081081081081,87
1961,9.888053867097197,65,0.7217391304347827,8.116685671704973,63,0.7207207207207207,0.7212299255777517,56
1962,7.786687424024185,127,0.4521739130434783,7.637479883810175,87,0.6126126126126126,0.5323932628280454,107
1963,8.237480586256806,114,0.508695652173913,7.781311095223805,82,0.6351351351351351,0.571915393654524,96
1964,9.621599524838096,74,0.682608695652174,8.37594359311781,51,0.7747747747747747,0.7286917352134743,53
1965,7.200629914186096,144,0.37826086956521743,6.527262215448667,138,0.38288288288288286,0.38057187622405014,135
1966,4.440086860922429,228,0.013043478260869601,4.711451927085515,210,0.058558558558558516,0.03580101840971406,218
1967,4.652858541267027,227,0.017391304347826098,4.485691968988452,215,0.036036036036036,0.02671367019193105,220
1968,9.25250873390496,83,0.6434782608695653,6.662370483123757,132,0.40990990990990994,0.5266940853897376,109
1969,8.768018722130874,97,0.5826086956521739,7.401190731776989,101,0.5495495495495495,0.5660791226008617,99
1970,7.671409567136464,130,0.4391304347826087,7.270561070683847,107,0.5225225225225225,0.4808264786525656,112
1971,6.965292466714166,152,0.34347826086956523,7.6380809868039155,86,0.6171171171171171,0.4802976889933412,113
1972,5.513024286015731,206,0.10869565217391308,8.223832056273343,55,0.7567567567567568,0.43272620446533494,123
1973,8.343683402805599,109,0.5304347826086957,8.818305868620634,34,0.8513513513513513,0.6908930669800235,63
1974,8.251616400698847,113,0.5130434782608695,7.785379999701458,81,0.6396396396396397,0.5763415589502545,95
1975,7.1421680305320185,146,0.3695652173913043,6.957531615793436,118,0.472972972972973,0.4212690951821387,126
1976,7.68272663508781,129,0.4434782608695652,6.382345308102955,148,0.33783783783783783,0.3906580493537015,134
1977,5.659350433761514,202,0.12608695652173918,5.322368142947325,190,0.14864864864864868,0.13736780258519393,204
1978,5.205545651375968,212,0.08260869565217388,6.4248174908989455,144,0.3558558558558559,0.21923227575401488,176
1979,5.135324111697785,214,0.07391304347826089,6.627182123314648,134,0.4009009009009009,0.2374069721895809,172
1980,7.195266165968586,145,0.3739130434782608,6.822069812788186,125,0.4414414414414415,0.40767724245985115,131
1981,8.380071379066818,107,0.5391304347826087,7.253925168737581,108,0.5180180180180181,0.5285742264003134,108
1982,6.737482614849676,164,0.29130434782608694,6.8895732832727425,121,0.45945945945945943,0.3753819036427732,137
1983,6.297716387539938,178,0.23043478260869565,6.215021445748268,153,0.3153153153153153,0.2728750489620055,163
1984,6.412247878034296,172,0.25652173913043474,4.866051141729775,205,0.08108108108108103,0.1688014101057579,196
1985,4.68513414784139,225,0.02608695652173909,3.874315470377065,223,0.0,0.013043478260869545,223
